model,lang,eval,metric,value
whisper_large,afrikaans,lda,umass,-11.17473779315901
whisper_large,afrikaans,lda,npmi,-0.45301230033027007
whisper_large,afrikaans,bertopic,umass,-6.11453595197484
whisper_large,afrikaans,bertopic,npmi,-0.28789923494180897
whisper_large,afrikaans,lda_reference,umass,-9.492261156187496
whisper_large,afrikaans,lda_reference,npmi,-0.4188529394049015
whisper_large,afrikaans,bertopic_reference,umass,-10.741343423289173
whisper_large,afrikaans,bertopic_reference,npmi,-0.31318843572957833
whisper_large,english,lda,umass,-14.036563960686651
whisper_large,english,lda,npmi,-0.45888852617321324
whisper_large,english,bertopic,umass,-10.40545866087843
whisper_large,english,bertopic,npmi,-0.3678516076994684
whisper_large,english,lda_reference,umass,-15.941290650906925
whisper_large,english,lda_reference,npmi,-0.491132112239519
whisper_large,english,bertopic_reference,umass,-15.279125911313296
whisper_large,english,bertopic_reference,npmi,-0.5393976727471601
m4tv2,afrikaans,lda,umass,-8.385145420662493
m4tv2,afrikaans,lda,npmi,-0.36736249555810363
m4tv2,afrikaans,bertopic,umass,-10.487128883952781
m4tv2,afrikaans,bertopic,npmi,-0.42176067954784957
m4tv2,afrikaans,lda_reference,umass,-9.492261156187496
m4tv2,afrikaans,lda_reference,npmi,-0.4188529394049015
m4tv2,afrikaans,bertopic_reference,umass,-4.8179997883460555
m4tv2,afrikaans,bertopic_reference,npmi,-0.28007734858327166
m4tv2,english,lda,umass,-15.570589418401154
m4tv2,english,lda,npmi,-0.4694712801781909
m4tv2,english,bertopic,umass,-16.84097309397443
m4tv2,english,bertopic,npmi,-0.5432070370227199
m4tv2,english,lda_reference,umass,-15.941290650906925
m4tv2,english,lda_reference,npmi,-0.491132112239519
m4tv2,english,bertopic_reference,umass,-17.296171881348023
m4tv2,english,bertopic_reference,npmi,-0.48141950586716553
whisper_small,afrikaans,lda,umass,-10.257249340512553
whisper_small,afrikaans,lda,npmi,-0.43715824343524357
whisper_small,afrikaans,bertopic,umass,-6.92265326962295
whisper_small,afrikaans,bertopic,npmi,-0.28660053164318666
whisper_small,afrikaans,lda_reference,umass,-9.492261156187496
whisper_small,afrikaans,lda_reference,npmi,-0.4188529394049015
whisper_small,afrikaans,bertopic_reference,umass,-9.076920052916723
whisper_small,afrikaans,bertopic_reference,npmi,-0.36996977482834714
whisper_small,english,lda,umass,-15.895473078182626
whisper_small,english,lda,npmi,-0.49303216559793384
whisper_small,english,bertopic,umass,-18.30749240032972
whisper_small,english,bertopic,npmi,-0.5032714309951503
whisper_small,english,lda_reference,umass,-15.941290650906925
whisper_small,english,lda_reference,npmi,-0.491132112239519
whisper_small,english,bertopic_reference,umass,-12.933981502746477
whisper_small,english,bertopic_reference,npmi,-0.30179085676179956
